From,Departure Delay,Count,TotalDepartures,Std_Delay,Probability
Bkb,0.0,17453,44556,3.6673175510100515,0.39170930963282163
Bkb,1.0,14455,44556,3.6673175510100515,0.3244231977735883
Bkb,2.0,5145,44556,3.6673175510100515,0.11547266361432804
Bkb,3.0,2081,44556,3.6673175510100515,0.046705269772870095
Bkb,4.0,1187,44556,3.6673175510100515,0.02664063201364575
Bkb,5.0,864,44556,3.6673175510100515,0.019391327767304067
Bkb,6.0,599,44556,3.6673175510100515,0.01344375617200826
Bkb,7.0,496,44556,3.6673175510100515,0.011132058533081964
Bkb,8.0,335,44556,3.6673175510100515,0.007518628243109795
Bkb,9.0,282,44556,3.6673175510100515,0.006329113924050633
Bkb,10.0,223,44556,3.6673175510100515,0.0050049376066074154
Bkb,11.0,154,44556,3.6673175510100515,0.0034563246251907713
Bkb,12.0,140,44556,3.6673175510100515,0.0031421132956279737
Bkb,13.0,124,44556,3.6673175510100515,0.002783014633270491
Bkb,14.0,109,44556,3.6673175510100515,0.002446359637310351
Bkb,15.0,123,44556,3.6673175510100515,0.0027605709668731483
Bkb,16.0,89,44556,3.6673175510100515,0.0019974863093634976
Bkb,17.0,59,44556,3.6673175510100515,0.0013241763174432176
Bkb,18.0,76,44556,3.6673175510100515,0.001705718646198043
Bkb,19.0,64,44556,3.6673175510100515,0.001436394649429931
Bkb,20.0,53,44556,3.6673175510100515,0.0011895143190591615
Bkb,21.0,37,44556,3.6673175510100515,0.0008304156567016788
Bkb,22.0,40,44556,3.6673175510100515,0.0008977466558937068
Bkb,23.0,40,44556,3.6673175510100515,0.0008977466558937068
Bkb,24.0,33,44556,3.6673175510100515,0.0007406409911123081
Bkb,25.0,27,44556,3.6673175510100515,0.0006059789927282521
Bkb,26.0,25,44556,3.6673175510100515,0.0005610916599335668
Bkb,27.0,20,44556,3.6673175510100515,0.0004488733279468534
Bkb,28.0,21,44556,3.6673175510100515,0.00047131699434419606
Bkb,29.0,14,44556,3.6673175510100515,0.00031421132956279736
Bkb,30.0,188,44556,3.6673175510100515,0.004219409282700422
Bro,0.0,18013,25488,3.2796523564319444,0.7067247332077841
Bro,1.0,3591,25488,3.2796523564319444,0.1408898305084746
Bro,2.0,1127,25488,3.2796523564319444,0.044216886377903324
Bro,3.0,610,25488,3.2796523564319444,0.023932831136220967
Bro,4.0,421,25488,3.2796523564319444,0.01651757689893283
Bro,5.0,317,25488,3.2796523564319444,0.012437225360954174
Bro,6.0,274,25488,3.2796523564319444,0.010750156936597614
Bro,7.0,186,25488,3.2796523564319444,0.007297551789077213
Bro,8.0,147,25488,3.2796523564319444,0.005767419962335217
Bro,9.0,99,25488,3.2796523564319444,0.003884180790960452
Bro,10.0,89,25488,3.2796523564319444,0.0034918392969240427
Bro,11.0,75,25488,3.2796523564319444,0.0029425612052730696
Bro,12.0,66,25488,3.2796523564319444,0.0025894538606403015
Bro,13.0,61,25488,3.2796523564319444,0.0023932831136220965
Bro,14.0,31,25488,3.2796523564319444,0.0012162586315128687
Bro,15.0,48,25488,3.2796523564319444,0.0018832391713747645
Bro,16.0,41,25488,3.2796523564319444,0.0016086001255492782
Bro,17.0,34,25488,3.2796523564319444,0.0013339610797237916
Bro,18.0,18,25488,3.2796523564319444,0.0007062146892655367
Bro,19.0,22,25488,3.2796523564319444,0.0008631512868801004
Bro,20.0,21,25488,3.2796523564319444,0.0008239171374764595
Bro,21.0,18,25488,3.2796523564319444,0.0007062146892655367
Bro,22.0,15,25488,3.2796523564319444,0.0005885122410546139
Bro,23.0,19,25488,3.2796523564319444,0.0007454488386691776
Bro,24.0,15,25488,3.2796523564319444,0.0005885122410546139
Bro,25.0,12,25488,3.2796523564319444,0.00047080979284369113
Bro,26.0,6,25488,3.2796523564319444,0.00023540489642184556
Bro,27.0,10,25488,3.2796523564319444,0.00039234149403640927
Bro,28.0,8,25488,3.2796523564319444,0.00031387319522912746
Bro,29.0,6,25488,3.2796523564319444,0.00023540489642184556
Bro,30.0,88,25488,3.2796523564319444,0.003452605147520402
Bål,0.0,8232,12350,2.314028257649713,0.6665587044534413
Bål,1.0,3387,12350,2.314028257649713,0.274251012145749
Bål,2.0,268,12350,2.314028257649713,0.021700404858299594
Bål,3.0,108,12350,2.314028257649713,0.00874493927125506
Bål,4.0,58,12350,2.314028257649713,0.004696356275303644
Bål,5.0,49,12350,2.314028257649713,0.003967611336032389
Bål,6.0,35,12350,2.314028257649713,0.002834008097165992
Bål,7.0,20,12350,2.314028257649713,0.0016194331983805667
Bål,8.0,20,12350,2.314028257649713,0.0016194331983805667
Bål,9.0,11,12350,2.314028257649713,0.0008906882591093117
Bål,10.0,15,12350,2.314028257649713,0.0012145748987854252
Bål,11.0,11,12350,2.314028257649713,0.0008906882591093117
Bål,12.0,17,12350,2.314028257649713,0.0013765182186234817
Bål,13.0,12,12350,2.314028257649713,0.0009716599190283401
Bål,14.0,10,12350,2.314028257649713,0.0008097165991902834
Bål,15.0,6,12350,2.314028257649713,0.00048582995951417006
Bål,16.0,12,12350,2.314028257649713,0.0009716599190283401
Bål,17.0,7,12350,2.314028257649713,0.0005668016194331983
Bål,18.0,7,12350,2.314028257649713,0.0005668016194331983
Bål,19.0,7,12350,2.314028257649713,0.0005668016194331983
Bål,20.0,8,12350,2.314028257649713,0.0006477732793522267
Bål,21.0,3,12350,2.314028257649713,0.00024291497975708503
Bål,22.0,4,12350,2.314028257649713,0.00032388663967611336
Bål,23.0,8,12350,2.314028257649713,0.0006477732793522267
Bål,24.0,2,12350,2.314028257649713,0.00016194331983805668
