From,To,Distance
Åbe,Jkb,22.352
Äs,Jkb,24.958
Öso,Jkb,68.116
Bkb,Jbo,42.147
Bro,Jbo,62.343
Bål,Jbo,71.453
Fas,Jbo,13.026
Gdv,Jbo,33.338
Hnd,Jbo,2.973
Hfa,Jbo,12.115
Jkb,Jbo,45.494
Jbo,Jbo,0.0
Khä,Jbo,49.199
Ke,Jbo,29.958
Kda,Jbo,5.065
Kän,Jbo,54.26
Ngd,Jbo,31.522
Nyh,Jbo,34.807
Ssä,Jbo,17.435
Skg,Jbo,9.184
Spå,Jbo,39.319
Cst,Jbo,27.974
Sst,Jbo,25.91
Sub,Jbo,34.485
Tåd,Jbo,10.957
Ts,Jbo,6.589
Vhe,Jbo,2.576
Åbe,Jbo,23.287
Äs,Jbo,20.554
Öso,Jbo,22.646
Bkb,Khä,7.052
Bro,Khä,13.162
Bål,Khä,22.271
Fas,Khä,36.186
Gdv,Khä,82.513
Hnd,Khä,46.242
Hfa,Khä,61.29
Jkb,Khä,3.724
Jbo,Khä,49.198
Khä,Khä,0.0
Ke,Khä,19.274
Kda,Khä,54.24
Kän,Khä,5.078
Ngd,Khä,80.697
Nyh,Khä,83.981
Ssä,Khä,66.609
Skg,Khä,40.02
Spå,Khä,9.908
Cst,Khä,21.298
Sst,Khä,23.33
Sub,Khä,14.727
Tåd,Khä,38.259
Ts,Khä,55.764
Vhe,Khä,51.751
Åbe,Khä,26.056
Äs,Khä,28.663
Öso,Khä,71.821
Bkb,Ke,12.223
Bro,Ke,32.419
Bål,Ke,41.528
Fas,Ke,16.946
Gdv,Ke,63.272
Hnd,Ke,27.002
Hfa,Ke,42.05
Jkb,Ke,15.57
Jbo,Ke,29.958
Khä,Ke,19.274
Ke,Ke,0.0
Kda,Ke,35.0
Kän,Ke,24.335
Ngd,Ke,61.456
Nyh,Ke,64.741
Ssä,Ke,47.369
Skg,Ke,20.779
Spå,Ke,9.395
Cst,Ke,2.057
Sst,Ke,4.102
Sub,Ke,4.561
Tåd,Ke,19.018
Ts,Ke,36.523
Vhe,Ke,32.51
Åbe,Ke,6.829
Äs,Ke,9.422
Öso,Ke,52.58
Bkb,Kda,47.189
Bro,Kda,67.385
Bål,Kda,76.495
Fas,Kda,18.067
Gdv,Kda,28.279
Hnd,Kda,8.015
Hfa,Kda,7.056
Jkb,Kda,50.536
Jbo,Kda,5.065
Khä,Kda,54.24
Ke,Kda,35.0
Kda,Kda,0.0
Kän,Kda,59.302
Ngd,Kda,26.463
Nyh,Kda,29.747
Ssä,Kda,12.375
Skg,Kda,14.226
Spå,Kda,44.361
Cst,Kda,33.016
Sst,Kda,30.952
Sub,Kda,39.527
Tåd,Kda,15.998
Ts,Kda,1.53
Vhe,Kda,2.499
Åbe,Kda,28.329
Äs,Kda,25.596
Öso,Kda,17.587
Bkb,Kän,12.113
Bro,Kän,8.113
Bål,Kän,17.222
Fas,Kän,41.248
Gdv,Kän,87.574
Hnd,Kän,51.304
Hfa,Kän,66.352
Jkb,Kän,8.785
Jbo,Kän,54.26
Khä,Kän,5.078
Ke,Kän,24.335
Kda,Kän,59.301
Kän,Kän,0.0
Ngd,Kän,85.758
Nyh,Kän,89.043
Ssä,Kän,71.671
Skg,Kän,45.081
Spå,Kän,14.969
Cst,Kän,26.359
Sst,Kän,28.391
Sub,Kän,19.788
Tåd,Kän,43.32
Ts,Kän,60.825
Vhe,Kän,56.812
Åbe,Kän,31.118
Äs,Kän,33.724
Öso,Kän,76.882
Bkb,Ngd,73.646
Bro,Ngd,93.842
Bål,Ngd,102.952
Fas,Ngd,44.524
Gdv,Ngd,1.817
Hnd,Ngd,34.472
Hfa,Ngd,19.437
Jkb,Ngd,76.993
Jbo,Ngd,31.522
Khä,Ngd,80.697
Ke,Ngd,61.457
Kda,Ngd,26.463
Kän,Ngd,85.759
Ngd,Ngd,0.0
Nyh,Ngd,2.658
Ssä,Ngd,14.12
Skg,Ngd,40.682
Spå,Ngd,70.818
Cst,Ngd,59.473
Sst,Ngd,57.408
Sub,Ngd,65.984
Tåd,Ngd,42.455
Ts,Ngd,24.939
Vhe,Ngd,28.956
Åbe,Ngd,54.786
Äs,Ngd,52.053
Öso,Ngd,8.889
Bkb,Nyh,76.931
Bro,Nyh,97.127
Bål,Nyh,106.236
Fas,Nyh,47.809
Gdv,Nyh,1.469
Hnd,Nyh,37.756
Hfa,Nyh,22.721
Jkb,Nyh,80.277
Jbo,Nyh,34.807
Khä,Nyh,83.982
Ke,Nyh,64.741
Kda,Nyh,29.747
Kän,Nyh,89.043
Ngd,Nyh,2.658
Nyh,Nyh,0.0
Ssä,Nyh,17.404
Skg,Nyh,43.967
Spå,Nyh,74.102
Cst,Nyh,62.757
Sst,Nyh,60.693
Sub,Nyh,69.269
Tåd,Nyh,45.74
Ts,Nyh,28.223
Vhe,Nyh,32.24
Åbe,Nyh,58.07
Äs,Nyh,55.337
Öso,Nyh,12.174
Bkb,Ssä,59.559
Bro,Ssä,79.755
Bål,Ssä,88.864
Fas,Ssä,30.437
Gdv,Ssä,15.936
Hnd,Ssä,20.384
Hfa,Ssä,5.349
Jkb,Ssä,62.905
Jbo,Ssä,17.435
Khä,Ssä,66.61
Ke,Ssä,47.369
Kda,Ssä,12.375
Kän,Ssä,71.671
Ngd,Ssä,14.12
Nyh,Ssä,17.404
Ssä,Ssä,0.0
Skg,Ssä,26.595
Spå,Ssä,56.73
Cst,Ssä,45.385
Sst,Ssä,43.321
Sub,Ssä,51.897
Tåd,Ssä,28.368
Ts,Ssä,10.851
Vhe,Ssä,14.868
Åbe,Ssä,40.698
Äs,Ssä,37.965
Öso,Ssä,5.244
Bkb,Skg,32.969
Bro,Skg,53.165
Bål,Skg,62.274
Fas,Skg,3.847
Gdv,Skg,42.498
Hnd,Skg,6.228
Hfa,Skg,21.276
Jkb,Skg,36.316
Jbo,Skg,9.184
Khä,Skg,40.02
Ke,Skg,20.779
Kda,Skg,14.226
Kän,Skg,45.081
Ngd,Skg,40.682
Nyh,Skg,43.967
Ssä,Skg,26.595
Skg,Skg,0.0
Spå,Skg,30.141
Cst,Skg,18.796
Sst,Skg,16.731
Sub,Skg,25.307
Tåd,Skg,1.778
Ts,Skg,15.749
Vhe,Skg,11.736
Åbe,Skg,14.109
Äs,Skg,11.375
Öso,Skg,31.806
Bkb,Spå,2.857
Bro,Spå,23.053
Bål,Spå,32.162
Fas,Spå,26.307
Gdv,Spå,72.633
Hnd,Spå,36.363
Hfa,Spå,51.411
Jkb,Spå,6.203
Jbo,Spå,39.319
Khä,Spå,9.908
Ke,Spå,9.395
Kda,Spå,44.361
Kän,Spå,14.969
Ngd,Spå,70.817
