From,To,Travel_Time
Åbe,Jkb,29.0
Äs,Jkb,32.0
Öso,Jkb,78.0
Bkb,Jbo,48.0
Bro,Jbo,65.0
Bål,Jbo,70.0
Fas,Jbo,14.0
Gdv,Jbo,35.0
Hnd,Jbo,3.0
Hfa,Jbo,18.0
Jkb,Jbo,51.0
Jbo,Jbo,0.0
Khä,Jbo,55.0
Ke,Jbo,35.0
Kda,Jbo,11.0
Kän,Jbo,59.0
Ngd,Jbo,32.0
Nyh,Jbo,37.0
Ssä,Jbo,22.0
Skg,Jbo,9.0
Spå,Jbo,44.0
Cst,Jbo,29.0
Sst,Jbo,26.0
Sub,Jbo,39.0
Tåd,Jbo,11.0
Ts,Jbo,13.0
Vhe,Jbo,3.0
Åbe,Jbo,23.0
Äs,Jbo,19.0
Öso,Jbo,26.0
Bkb,Khä,9.0
Bro,Khä,10.0
Bål,Khä,15.0
Fas,Khä,42.0
Gdv,Khä,91.0
Hnd,Khä,53.0
Hfa,Khä,74.0
Jkb,Khä,4.0
Jbo,Khä,56.0
Khä,Khä,0.0
Ke,Khä,21.0
Kda,Khä,67.0
Kän,Khä,4.0
Ngd,Khä,88.0
Nyh,Khä,93.0
Ssä,Khä,78.0
Skg,Khä,47.0
Spå,Khä,12.0
Cst,Khä,24.0
Sst,Khä,30.0
Sub,Khä,16.0
Tåd,Khä,45.0
Ts,Khä,69.0
Vhe,Khä,59.0
Åbe,Khä,33.0
Äs,Khä,36.0
Öso,Khä,82.0
Bkb,Ke,13.0
Bro,Ke,30.0
Bål,Ke,35.0
Fas,Ke,21.0
Gdv,Ke,70.0
Hnd,Ke,32.0
Hfa,Ke,53.0
Jkb,Ke,16.0
Jbo,Ke,35.0
Khä,Ke,20.0
Ke,Ke,0.0
Kda,Ke,46.0
Kän,Ke,24.0
Ngd,Ke,67.0
Nyh,Ke,72.0
Ssä,Ke,57.0
Skg,Ke,26.0
Spå,Ke,9.0
Cst,Ke,3.0
Sst,Ke,9.0
Sub,Ke,4.0
Tåd,Ke,24.0
Ts,Ke,48.0
Vhe,Ke,38.0
Åbe,Ke,12.0
Äs,Ke,15.0
Öso,Ke,61.0
Bkb,Kda,58.0
Bro,Kda,75.0
Bål,Kda,80.0
Fas,Kda,24.0
Gdv,Kda,24.0
Hnd,Kda,13.0
Hfa,Kda,7.0
Jkb,Kda,61.0
Jbo,Kda,10.0
Khä,Kda,65.0
Ke,Kda,45.0
Kda,Kda,0.0
Kän,Kda,69.0
Ngd,Kda,21.0
Nyh,Kda,26.0
Ssä,Kda,11.0
Skg,Kda,19.0
Spå,Kda,54.0
Cst,Kda,39.0
Sst,Kda,36.0
Sub,Kda,49.0
Tåd,Kda,21.0
Ts,Kda,2.0
Vhe,Kda,2.0
Åbe,Kda,33.0
Äs,Kda,29.0
Öso,Kda,15.0
Bkb,Kän,13.0
Bro,Kän,6.0
Bål,Kän,11.0
Fas,Kän,46.0
Gdv,Kän,95.0
Hnd,Kän,57.0
Hfa,Kän,78.0
Jkb,Kän,8.0
Jbo,Kän,60.0
Khä,Kän,4.0
Ke,Kän,25.0
Kda,Kän,71.0
Kän,Kän,0.0
Ngd,Kän,92.0
Nyh,Kän,97.0
Ssä,Kän,82.0
Skg,Kän,51.0
Spå,Kän,16.0
Cst,Kän,28.0
Sst,Kän,34.0
Sub,Kän,20.0
Tåd,Kän,49.0
Ts,Kän,73.0
Vhe,Kän,63.0
Åbe,Kän,37.0
Äs,Kän,40.0
Öso,Kän,86.0
Bkb,Ngd,81.0
Bro,Ngd,98.0
Bål,Ngd,103.0
Fas,Ngd,47.0
Gdv,Ngd,3.0
Hnd,Ngd,36.0
Hfa,Ngd,14.0
Jkb,Ngd,84.0
Jbo,Ngd,33.0
Khä,Ngd,88.0
Ke,Ngd,68.0
Kda,Ngd,22.0
Kän,Ngd,92.0
Ngd,Ngd,0.0
Nyh,Ngd,11.733333333333333
Ssä,Ngd,10.0
Skg,Ngd,42.0
Spå,Ngd,77.0
Cst,Ngd,62.0
Sst,Ngd,59.0
Sub,Ngd,72.0
Tåd,Ngd,44.0
Ts,Ngd,19.0
Vhe,Ngd,25.0
Åbe,Ngd,56.0
Äs,Ngd,52.0
Öso,Ngd,6.0
Bkb,Nyh,87.0
Bro,Nyh,104.0
Bål,Nyh,109.0
Fas,Nyh,53.0
Gdv,Nyh,3.0
Hnd,Nyh,42.0
Hfa,Nyh,20.0
Jkb,Nyh,90.0
